what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1299256797191
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1299256797192
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1299256797193
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1299256797194
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1299256797195
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1299256797196
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1299256797196
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1299256797197
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1299256797197
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1299256797198
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1299256797199
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1299256797200
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1299256797201
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1299256797201
os,sysinfo,,,"linux",1299256797207
arch,sysinfo,,,"x86_64",1299256797207
ws,sysinfo,,,"gtk",1299256797207
locale,sysinfo,,,"en_US",1299256797207
processors,sysinfo,,,"2",1299256797207
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1299256797207
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1299256797207
java.specification.name,sysinfo,,,"Java Platform API Specification",1299256797207
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1299256797207
java.specification.version,sysinfo,,,"1.6",1299256797207
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1299256797207
java.version,sysinfo,,,"1.6.0_20",1299256797207
java.vm.info,sysinfo,,,"mixed mode",1299256797207
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1299256797207
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1299256797207
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1299256797207
java.vm.specification.version,sysinfo,,,"1.0",1299256797207
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1299256797207
java.vm.version,sysinfo,,,"19.0-b09",1299256797207
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1299256802206
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1299256802266
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1299256802291
activated,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1299256810966
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1299256814040
activated,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1299256815940
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1299256816017
closed,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1299256816061
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1299256825357
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1299256825401
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299256827329
started,bundle,org.eclipse.help.base,3.5.3.v201102101200,"org.eclipse.help.base",1299256937783
